target,run,generation,regression-function,?
0,0,29,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,30,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,31,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,32,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,33,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,34,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,35,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,36,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,37,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,38,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,39,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,40,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,41,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,42,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,43,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,44,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,45,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,46,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
