start_node,end_node,start_lat,start_lon,end_lat,end_lon,length,duration,oneway
29766153,8838245823,53.2288595,8.5881845,53.2295619,8.5886119,83.123,5.984856,False
29766153,1848073393,53.2288595,8.5881845,53.2286813,8.5881346,20.091,2.41092,False
29766165,26083071,53.2238138,8.5341659,53.2240951,8.5346755,46.144,2.37312,False
29766165,259698681,53.2238138,8.5341659,53.2236261,8.5337941,32.377,1.6651028571428574,False
30501890,6032600289,53.2251738,8.6440626,53.2240551,8.6447865,133.402,9.604943999999998,True
31435449,3521694731,53.2338787,8.5138541,53.233945,8.5138423,7.414,0.533808,False
31435449,3524072064,53.2338787,8.5138541,53.2337957,8.5138737,9.321,0.6711119999999999,False
31435450,3521694708,53.2334972,8.5139306,53.23367,8.5139033,19.3,1.3896,False
31435450,2295108269,53.2334972,8.5139306,53.2333287,8.5139445,18.759,1.350648,False
31435551,466108323,53.2558817,8.5637789,53.2554287,8.5663694,179.536,12.926592,False
31435551,9362620948,53.2558817,8.5637789,53.2556707,8.5637168,23.823,1.715256,False
80216617,280830225,53.2288824,8.6511231,53.2317247,8.653813,363.241,18.680965714285716,False
80216617,91345590,53.2288824,8.6511231,53.2287231,8.6510029,19.437,0.999617142857143,True
80218285,298261844,53.2380462,8.6541512,53.2384172,8.6542174,41.488,2.1336685714285717,False
80218285,7540421115,53.2380462,8.6541512,53.2379832,8.6541171,7.364,0.37872,False
80218288,271849191,53.2439146,8.6556657,53.2421622,8.6549248,200.998,10.33704,False
80218288,3195177866,53.2439146,8.6556657,53.2440108,8.6562543,40.6,2.9232,False
80218288,271934672,53.2439146,8.6556657,53.2439746,8.6537195,129.672,9.336383999999999,False
80218295,297870916,53.2439955,8.6571495,53.2440048,8.6566843,30.972,2.229984,False
91345146,5483590831,53.2286987,8.6561941,53.2286744,8.6530812,207.224,10.657234285714287,False
91345146,1551662583,53.2286987,8.6561941,53.2287193,8.658324,141.793,7.29221142857143,False
91345150,5483590832,53.2285216,8.6507883,53.2284786,8.6504331,24.122,1.24056,False
91345150,91346494,53.2285216,8.6507883,53.2286061,8.6514463,44.796,2.303794285714286,False
91345151,469192858,53.2280952,8.6475984,53.2281991,8.6483996,54.569,2.806405714285715,False
91345151,2010467881,53.2280952,8.6475984,53.2278155,8.6455676,138.712,7.13376,False
91345154,2010467132,53.2277392,8.6449316,53.2280016,8.6448204,30.102,1.083672,True
91345154,26082973,53.2277392,8.6449316,53.2277142,8.6447235,14.128,0.7265828571428572,False
91345154,2010467881,53.2277392,8.6449316,53.2278155,8.6455676,43.177,2.220531428571429,False
91345590,91345591,53.2287231,8.6510029,53.2286204,8.6509514,11.923,0.6131828571428571,True
91345591,91345150,53.2286204,8.6509514,53.2285216,8.6507883,15.445,0.7943142857142858,True
91346494,5483590834,53.2286061,8.6514463,53.2286517,8.6522097,51.067,2.6263028571428575,False
91346494,91346495,53.2286061,8.6514463,53.2286563,8.6511917,17.843,0.9176400000000001,True
91346494,91345150,53.2286061,8.6514463,53.2285216,8.6507883,44.796,2.303794285714286,False
91346495,91346496,53.2286563,8.6511917,53.228754,8.6511231,11.784,0.6060342857142857,True
91346496,80216617,53.228754,8.6511231,53.2288824,8.6511231,14.277,0.7342457142857143,True
91348009,91348011,53.2280923,8.644782,53.2284838,8.6445876,45.415,1.6349399999999998,True
91348011,91348012,53.2284838,8.6445876,53.228833,8.6443054,43.134,1.552824,True
91348012,91348013,53.228833,8.6443054,53.2290684,8.6439685,34.468,1.2408480000000002,True
91348013,91348014,53.2290684,8.6439685,53.2291666,8.6436564,23.469,0.844884,True
91348014,2490138912,53.2291666,8.6436564,53.2292276,8.6434039,18.124,0.6524639999999999,True
91348016,91348017,53.2292649,8.643106,53.2293566,8.6425144,40.677,1.464372,True
91348017,2490138915,53.2293566,8.6425144,53.2294512,8.642224,22.007,0.7922520000000001,True
91348018,91348019,53.2295617,8.6420391,53.2297158,8.6418733,20.382,0.7337520000000001,True
91348019,91348020,53.2297158,8.6418733,53.2299377,8.6417307,26.437,0.951732,True
91348020,20973984,53.2299377,8.6417307,53.2300056,8.6415841,12.338,0.44416799999999995,True
91348662,2490138908,53.2256094,8.6435786,53.2254639,8.64377,20.594,0.741384,True
91354722,298912017,53.2298931,8.6651459,53.2294519,8.6632828,133.364,6.858720000000001,False
91354722,280829928,53.2298931,8.6651459,53.229961,8.6654113,19.211,0.9879942857142857,False
91354723,1383570613,53.230836,8.6696181,53.2309113,8.669592,8.551,1.02612,False
91354723,2663743445,53.230836,8.6696181,53.2308531,8.6698983,18.747,0.9641314285714286,False
91354723,6900156986,53.230836,8.6696181,53.230827,8.6694615,10.471,0.5385085714285714,False
91354725,2261281475,53.2308255,8.6709332,53.2308494,8.6701473,52.377,2.693674285714286,False
91354725,280829057,53.2308255,8.6709332,53.2307516,8.6722538,88.283,4.540268571428572,False
91354727,2663743441,53.2300977,8.683503,53.2296729,8.6906867,480.489,24.710862857142857,False
91354727,6900156985,53.2300977,8.683503,53.2301434,8.6827099,53.034,2.727462857142857,False
144098166,917264487,53.2281787,8.6425254,53.2292416,8.6419617,124.002,8.928144,True
237797115,2489329592,53.2094471,8.6602649,53.2101124,8.6592229,101.429,7.302888,True
252416598,2295107764,53.2313082,8.5444755,53.2314453,8.5443287,18.107,1.303704,True
252416598,2295107762,53.2313082,8.5444755,53.2314345,8.5447905,25.235,1.2978,False
252416598,2295107717,53.2313082,8.5444755,53.2312593,8.5443533,9.784,0.5031771428571429,False
252416599,280854496,53.2327925,8.5412831,53.2329961,8.5425813,89.321,10.71852,False
252416599,2295108119,53.2327925,8.5412831,53.232732,8.5413266,7.324,0.8788799999999999,False
252416599,411108244,53.2327925,8.5412831,53.2327656,8.541117,11.453,1.3743599999999998,False
252416600,7604152177,53.2317139,8.534333,53.2324656,8.5340816,85.244,10.22928,False
252416600,8231349619,53.2317139,8.534333,53.2316824,8.5337681,37.762,2.718864,False
252416600,280855904,53.2317139,8.534333,53.2317766,8.5348666,36.194,2.6059680000000003,False
252416601,2295107828,53.2314176,8.5279705,53.2316801,8.5276651,35.569,2.560968,False
252416601,8998142981,53.2314176,8.5279705,53.2315309,8.5307406,184.807,13.306104,False
252416602,8976910621,53.2248235,8.5330641,53.2250802,8.5335397,42.628,5.11536,False
252416603,8560449017,53.2254199,8.5341689,53.2254606,8.5342337,6.252,0.7502399999999999,False
252416603,8976910621,53.2254199,8.5341689,53.2250802,8.5335397,56.402,6.76824,False
252416604,7544991103,53.226024,8.5351304,53.2264755,8.5356329,60.328,7.23936,False
252416604,8837567030,53.226024,8.5351304,53.2259564,8.5350227,10.388,1.24656,False
