target,run,generation,regression-function,?
0,0,24,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,25,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,26,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,27,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,28,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,29,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,30,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,31,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,32,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,33,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,34,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,35,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,36,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,37,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,38,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,39,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,40,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
